step,loss,accuracy,f1
0,0.3523442989377224,0.8978622327790974,0.8955437032959332
1,0.13408461456065593,0.9144893111638955,0.9137529076982468
2,0.12612754596478265,0.9039701391245334,0.9038361855372323
3,0.1156667444612021,0.9222938581608415,0.921577508680827
4,0.10959520142363466,0.9131319986426875,0.9127540254185422
5,0.11483007519627395,0.9083814048184594,0.9084011986553463
6,0.11704187548678854,0.9205972175093315,0.9204565838008167
7,0.10905392308031088,0.9141499830335935,0.9140933973357571
8,0.11230483547905865,0.9107567017305734,0.9106961889444065
9,0.09802128878705528,0.9199185612487275,0.9196367749582011
