step,accuracy,f1
0,0.6620291822192059,0.6358053816287534
1,0.835765184933831,0.8345205742931435
2,0.8615541228367831,0.8614465761391978
3,0.8622327790973872,0.8614765609504419
4,0.8707159823549372,0.8705087249122153
5,0.8669833729216152,0.8677147899388538
6,0.8751272480488632,0.8749230133782928
7,0.8741092636579573,0.8740685689563977
8,0.8758059043094673,0.8750550654922647
9,0.8870037326094333,0.8869205739500611
10,0.8880217170003394,0.8877728532565166
11,0.8873430607397353,0.887085680075991
12,0.8900576857821514,0.8902665188694119
13,0.8808958262639973,0.8806656606782539
14,0.8839497794367153,0.8840069764808726
